participant_code,profile_dimension,profile_value,n_events,n_positions,n_trials_from_events,n_trials_from_positions,mean_log_dt_ms,mean_friction,delete_rate,near_key_typo_rate,layout_confusion_rate,shift_confusion_rate,mean_time_to_first_correct_ms,mean_time_to_stability_ms,mean_revisions,wrong_first_rate
JJ,expected_zone_proxy,right,477,416,15,15,5.943316821225863,0.40762918448774565,0.06289308176100629,0.006289308176100629,0.006289308176100629,0.006289308176100629,41259.10336538462,41327.5,0.007211538461538462,0.0625
JJ,expected_zone_proxy,space,27,19,8,8,6.399559594750944,0.981272229917547,0.14814814814814814,0.0,0.0,0.0,43708.26315789474,43708.26315789474,0.0,0.15789473684210525
JJ,layout_switch_needed,0,999,855,15,15,6.057714936143565,0.5339531712019293,0.07207207207207207,0.012012012012012012,0.002002002002002002,0.007007007007007007,42969.90643274854,43029.21052631579,0.007017543859649123,0.07368421052631578
JJ,layout_switch_needed,1,5,3,1,1,7.139185547230108,4.676621711369407,0.2,0.0,0.2,0.0,21494.666666666668,21494.666666666668,0.0,0.3333333333333333
JJ,layout_switch_needed,<missing>,53,41,15,15,6.450791922746763,1.2012043518050148,0.11320754716981132,0.0,0.03773584905660377,0.0,38046.58536585366,38046.58536585366,0.0,0.04878048780487805
JJ,target_distance_bin,<missing>,111,79,15,15,6.536553603877357,1.3515068352239188,0.14414414414414414,0.0,0.036036036036036036,0.0,41221.329113924054,41221.329113924054,0.0,0.10126582278481013
JJ,target_distance_bin,high,527,456,15,15,6.010294513061434,1.150818698435353,0.0683111954459203,0.013282732447817837,0.0018975332068311196,0.0056925996204933585,42931.774122807015,42996.241228070176,0.006578947368421052,0.06578947368421052
JJ,target_distance_bin,low,200,182,15,15,5.828267174240551,-0.9446058966480052,0.045,0.01,0.0,0.01,43113.0,43113.0,0.0,0.06043956043956044
JJ,target_distance_bin,medium,219,182,15,15,6.258488710444191,0.24150056519431565,0.0821917808219178,0.0136986301369863,0.0,0.0091324200913242,42218.26373626374,42335.34065934066,0.016483516483516484,0.09340659340659341
Ja,expected_char_class,<missing>,13,13,7,7,5.98976519899095,0.24704346550898676,0.0,0.0,0.0,0.0,39051.307692307695,39051.307692307695,0.0,0.0
Ja,expected_char_class,arabic_numeral,11,5,2,2,6.390757851070163,2.383492380239336,0.2727272727272727,0.0,0.18181818181818182,0.0,21762.6,21762.6,0.0,0.6
Ja,expected_char_class,english_punctuation,7,3,1,1,7.012554193935516,4.058725936212303,0.2857142857142857,0.0,0.2857142857142857,0.0,16748.0,16748.0,0.0,0.6666666666666666
Ja,expected_char_class,thai_consonant,572,543,15,15,6.1261158754302745,0.5666287467454212,0.024475524475524476,0.01048951048951049,0.0017482517482517483,0.0,30211.28360957643,30228.37753222836,0.003683241252302026,0.02578268876611418
Ja,expected_char_class,thai_diacritic,7,7,5,5,6.873709555286046,2.4545399846281057,0.0,0.0,0.0,0.0,44919.0,44919.0,0.0,0.0
Ja,expected_char_class,thai_numeral,6,4,2,2,7.860622149163684,4.927348807457026,0.16666666666666666,0.0,0.0,0.0,42278.25,42278.25,0.0,0.25
Ja,expected_char_class,thai_tone_mark,61,57,14,14,5.607270548793217,-0.5224648403367947,0.03278688524590164,0.03278688524590164,0.0,0.0,29650.298245614034,29650.298245614034,0.0,0.03508771929824561
Ja,expected_char_class,thai_vowel_mark,277,248,15,15,5.940220200635653,0.3182758932788135,0.05415162454873646,0.01444043321299639,0.0,0.0036101083032490976,29865.70564516129,29889.245967741936,0.004032258064516129,0.028225806451612902
Ja,expected_char_class,whitespace,19,19,8,8,6.622705989957229,0.9863073790705098,0.0,0.0,0.0,0.0,29192.21052631579,29192.21052631579,0.0,0.0
