source_node_id,target_node_id,source_physical_key_id,target_physical_key_id,source_keycode,target_keycode,distance,is_adjacent
Digit2,KeyH,Digit2,KeyH,50,72,4.0,0
Digit2,KeyI,Digit2,KeyI,50,73,6.0,0
Digit2,KeyJ,Digit2,KeyJ,50,74,5.0,0
Digit2,KeyK,Digit2,KeyK,50,75,6.0,0
Digit2,KeyL,Digit2,KeyL,50,76,7.0,0
Digit2,KeyM,Digit2,KeyM,50,77,5.0,0
Digit2,KeyN,Digit2,KeyN,50,78,4.0,0
Digit2,KeyO,Digit2,KeyO,50,79,7.0,0
Digit2,KeyP,Digit2,KeyP,50,80,8.0,0
Digit2,KeyQ,Digit2,KeyQ,50,81,1.0,1
Digit2,KeyR,Digit2,KeyR,50,82,2.0,0
Digit2,KeyS,Digit2,KeyS,50,83,2.0,0
Digit2,KeyT,Digit2,KeyT,50,84,3.0,0
Digit2,KeyU,Digit2,KeyU,50,85,5.0,0
Digit2,KeyV,Digit2,KeyV,50,86,3.0,0
Digit2,KeyW,Digit2,KeyW,50,87,1.0,1
Digit2,KeyX,Digit2,KeyX,50,88,3.0,0
Digit2,KeyY,Digit2,KeyY,50,89,4.0,0
Digit2,KeyZ,Digit2,KeyZ,50,90,3.0,0
Digit2,Minus,Digit2,Minus,50,189,9.0,0
Digit2,Period,Digit2,Period,50,190,7.0,0
Digit2,Quote,Digit2,Quote,50,222,9.0,0
Digit2,Semicolon,Digit2,Semicolon,50,186,8.0,0
Digit2,Slash,Digit2,Slash,50,191,8.0,0
Digit2,Space,Digit2,Space,50,32,,0
Digit3,Backquote,Digit3,Backquote,51,192,3.0,0
Digit3,Backslash,Digit3,Backslash,51,220,10.0,0
Digit3,BracketLeft,Digit3,BracketLeft,51,219,8.0,0
Digit3,BracketRight,Digit3,BracketRight,51,221,9.0,0
Digit3,Comma,Digit3,Comma,51,188,5.0,0
Digit3,Digit0,Digit3,Digit0,51,48,7.0,0
Digit3,Digit1,Digit3,Digit1,51,49,2.0,0
Digit3,Digit2,Digit3,Digit2,51,50,1.0,1
Digit3,Digit3,Digit3,Digit3,51,51,0.0,0
Digit3,Digit4,Digit3,Digit4,51,52,1.0,1
Digit3,Digit5,Digit3,Digit5,51,53,2.0,0
Digit3,Digit6,Digit3,Digit6,51,54,3.0,0
Digit3,Digit7,Digit3,Digit7,51,55,4.0,0
Digit3,Digit8,Digit3,Digit8,51,56,5.0,0
Digit3,Digit9,Digit3,Digit9,51,57,6.0,0
Digit3,Equal,Digit3,Equal,51,187,9.0,0
Digit3,KeyA,Digit3,KeyA,51,65,2.0,0
Digit3,KeyB,Digit3,KeyB,51,66,3.0,0
Digit3,KeyC,Digit3,KeyC,51,67,3.0,0
Digit3,KeyD,Digit3,KeyD,51,68,2.0,0
Digit3,KeyE,Digit3,KeyE,51,69,1.0,1
Digit3,KeyF,Digit3,KeyF,51,70,2.0,0
Digit3,KeyG,Digit3,KeyG,51,71,2.0,0
Digit3,KeyH,Digit3,KeyH,51,72,3.0,0
Digit3,KeyI,Digit3,KeyI,51,73,5.0,0
Digit3,KeyJ,Digit3,KeyJ,51,74,4.0,0
Digit3,KeyK,Digit3,KeyK,51,75,5.0,0
Digit3,KeyL,Digit3,KeyL,51,76,6.0,0
Digit3,KeyM,Digit3,KeyM,51,77,4.0,0
Digit3,KeyN,Digit3,KeyN,51,78,3.0,0
Digit3,KeyO,Digit3,KeyO,51,79,6.0,0
Digit3,KeyP,Digit3,KeyP,51,80,7.0,0
Digit3,KeyQ,Digit3,KeyQ,51,81,2.0,0
