trial_uid,session_id,participant_code,trial_index,trial_type,prompt_id,prompt_position,prompt_position_1based,time_to_first_correct_ms,time_to_stability_ms,revisions,wrong_first
20260419141512-jt34p4__3__P04,20260419141512-jt34p4,ก้องฟ้า,3,main,P04,17,18,3658,3658,0,0
20260419141512-jt34p4__3__P04,20260419141512-jt34p4,ก้องฟ้า,3,main,P04,18,19,3951,3951,0,0
20260419141512-jt34p4__3__P04,20260419141512-jt34p4,ก้องฟ้า,3,main,P04,19,20,4028,4028,0,0
20260419141512-jt34p4__3__P04,20260419141512-jt34p4,ก้องฟ้า,3,main,P04,20,21,4794,4794,0,1
20260419141512-jt34p4__3__P04,20260419141512-jt34p4,ก้องฟ้า,3,main,P04,21,22,5033,5033,0,0
20260419141512-jt34p4__3__P04,20260419141512-jt34p4,ก้องฟ้า,3,main,P04,22,23,5198,5198,0,0
20260419141512-jt34p4__3__P04,20260419141512-jt34p4,ก้องฟ้า,3,main,P04,23,24,5269,5269,0,0
20260419141512-jt34p4__3__P04,20260419141512-jt34p4,ก้องฟ้า,3,main,P04,24,25,5348,5348,0,0
20260419141512-jt34p4__3__P04,20260419141512-jt34p4,ก้องฟ้า,3,main,P04,25,26,5467,5467,0,0
20260419141512-jt34p4__3__P04,20260419141512-jt34p4,ก้องฟ้า,3,main,P04,26,27,5677,5677,0,0
20260419141512-jt34p4__3__P04,20260419141512-jt34p4,ก้องฟ้า,3,main,P04,27,28,5818,5818,0,0
20260419141512-jt34p4__3__P04,20260419141512-jt34p4,ก้องฟ้า,3,main,P04,28,29,5907,5907,0,0
20260419141512-jt34p4__4__P03,20260419141512-jt34p4,ก้องฟ้า,4,main,P03,0,1,736,736,0,0
20260419141512-jt34p4__4__P03,20260419141512-jt34p4,ก้องฟ้า,4,main,P03,1,2,776,776,0,0
20260419141512-jt34p4__4__P03,20260419141512-jt34p4,ก้องฟ้า,4,main,P03,2,3,987,987,0,0
20260419141512-jt34p4__4__P03,20260419141512-jt34p4,ก้องฟ้า,4,main,P03,3,4,1311,1311,0,0
20260419141512-jt34p4__4__P03,20260419141512-jt34p4,ก้องฟ้า,4,main,P03,4,5,1398,1398,0,0
20260419141512-jt34p4__4__P03,20260419141512-jt34p4,ก้องฟ้า,4,main,P03,5,6,1621,1621,0,0
20260419141512-jt34p4__4__P03,20260419141512-jt34p4,ก้องฟ้า,4,main,P03,6,7,1815,1815,0,0
20260419141512-jt34p4__4__P03,20260419141512-jt34p4,ก้องฟ้า,4,main,P03,7,8,1934,1934,0,0
20260419141512-jt34p4__4__P03,20260419141512-jt34p4,ก้องฟ้า,4,main,P03,8,9,2053,2053,0,0
20260419141512-jt34p4__4__P03,20260419141512-jt34p4,ก้องฟ้า,4,main,P03,9,10,2375,2375,0,0
20260419141512-jt34p4__4__P03,20260419141512-jt34p4,ก้องฟ้า,4,main,P03,10,11,3105,3105,0,1
20260419141512-jt34p4__4__P03,20260419141512-jt34p4,ก้องฟ้า,4,main,P03,11,12,3828,3828,0,1
20260419141512-jt34p4__4__P03,20260419141512-jt34p4,ก้องฟ้า,4,main,P03,12,13,3963,3963,0,0
20260419141512-jt34p4__4__P03,20260419141512-jt34p4,ก้องฟ้า,4,main,P03,13,14,4216,4216,0,0
20260419141512-jt34p4__4__P03,20260419141512-jt34p4,ก้องฟ้า,4,main,P03,14,15,4353,4353,0,0
20260419141512-jt34p4__4__P03,20260419141512-jt34p4,ก้องฟ้า,4,main,P03,15,16,4396,4396,0,0
20260419141512-jt34p4__4__P03,20260419141512-jt34p4,ก้องฟ้า,4,main,P03,16,17,4606,4606,0,0
20260419141512-jt34p4__4__P03,20260419141512-jt34p4,ก้องฟ้า,4,main,P03,17,18,4803,4803,0,0
20260419141512-jt34p4__4__P03,20260419141512-jt34p4,ก้องฟ้า,4,main,P03,18,19,4865,4865,0,0
20260419141512-jt34p4__4__P03,20260419141512-jt34p4,ก้องฟ้า,4,main,P03,19,20,4964,4964,0,0
20260419141512-jt34p4__4__P03,20260419141512-jt34p4,ก้องฟ้า,4,main,P03,20,21,5038,5038,0,0
20260419141512-jt34p4__4__P03,20260419141512-jt34p4,ก้องฟ้า,4,main,P03,21,22,5311,5311,0,0
20260419141512-jt34p4__4__P03,20260419141512-jt34p4,ก้องฟ้า,4,main,P03,22,23,5465,5465,0,0
20260419141512-jt34p4__4__P03,20260419141512-jt34p4,ก้องฟ้า,4,main,P03,23,24,5675,5675,0,0
20260419141512-jt34p4__4__P03,20260419141512-jt34p4,ก้องฟ้า,4,main,P03,24,25,5808,5808,0,0
20260419141512-jt34p4__4__P03,20260419141512-jt34p4,ก้องฟ้า,4,main,P03,25,26,5883,5883,0,0
20260419141512-jt34p4__4__P03,20260419141512-jt34p4,ก้องฟ้า,4,main,P03,26,27,6028,6028,0,0
20260419141512-jt34p4__4__P03,20260419141512-jt34p4,ก้องฟ้า,4,main,P03,27,28,8288,8288,0,1
20260419141512-jt34p4__4__P03,20260419141512-jt34p4,ก้องฟ้า,4,main,P03,28,29,8536,8536,0,1
20260419141512-jt34p4__4__P03,20260419141512-jt34p4,ก้องฟ้า,4,main,P03,29,30,8598,8598,0,0
20260419141512-jt34p4__5__P05,20260419141512-jt34p4,ก้องฟ้า,5,main,P05,0,1,969,969,0,0
20260419141512-jt34p4__5__P05,20260419141512-jt34p4,ก้องฟ้า,5,main,P05,1,2,1023,1023,0,0
20260419141512-jt34p4__5__P05,20260419141512-jt34p4,ก้องฟ้า,5,main,P05,2,3,1171,1171,0,0
20260419141512-jt34p4__5__P05,20260419141512-jt34p4,ก้องฟ้า,5,main,P05,3,4,1309,1309,0,0
20260419141512-jt34p4__5__P05,20260419141512-jt34p4,ก้องฟ้า,5,main,P05,4,5,1618,1618,0,0
20260419141512-jt34p4__5__P05,20260419141512-jt34p4,ก้องฟ้า,5,main,P05,5,6,1753,1753,0,0
20260419141512-jt34p4__5__P05,20260419141512-jt34p4,ก้องฟ้า,5,main,P05,6,7,1811,1811,0,0
20260419141512-jt34p4__5__P05,20260419141512-jt34p4,ก้องฟ้า,5,main,P05,7,8,2017,2017,0,0
20260419141512-jt34p4__5__P05,20260419141512-jt34p4,ก้องฟ้า,5,main,P05,8,9,2052,2052,0,0
20260419141512-jt34p4__5__P05,20260419141512-jt34p4,ก้องฟ้า,5,main,P05,9,10,2303,2303,0,0
20260419141512-jt34p4__5__P05,20260419141512-jt34p4,ก้องฟ้า,5,main,P05,10,11,2395,2395,0,0
20260419141512-jt34p4__5__P05,20260419141512-jt34p4,ก้องฟ้า,5,main,P05,11,12,2540,2540,0,0
20260419141512-jt34p4__5__P05,20260419141512-jt34p4,ก้องฟ้า,5,main,P05,12,13,2674,2674,0,0
20260419141512-jt34p4__5__P05,20260419141512-jt34p4,ก้องฟ้า,5,main,P05,13,14,2770,2770,0,0
20260419141512-jt34p4__5__P05,20260419141512-jt34p4,ก้องฟ้า,5,main,P05,14,15,2997,2997,0,0
20260419141512-jt34p4__5__P05,20260419141512-jt34p4,ก้องฟ้า,5,main,P05,15,16,3115,3115,0,0
20260419141512-jt34p4__5__P05,20260419141512-jt34p4,ก้องฟ้า,5,main,P05,16,17,3252,3252,0,0
20260419141512-jt34p4__5__P05,20260419141512-jt34p4,ก้องฟ้า,5,main,P05,17,18,3401,3401,0,0
20260419141512-jt34p4__5__P05,20260419141512-jt34p4,ก้องฟ้า,5,main,P05,18,19,3470,3470,0,0
20260419141512-jt34p4__5__P05,20260419141512-jt34p4,ก้องฟ้า,5,main,P05,19,20,3667,3667,0,0
20260419141512-jt34p4__5__P05,20260419141512-jt34p4,ก้องฟ้า,5,main,P05,20,21,3752,3752,0,0
20260419141512-jt34p4__5__P05,20260419141512-jt34p4,ก้องฟ้า,5,main,P05,21,22,3862,3862,0,0
20260419141512-jt34p4__5__P05,20260419141512-jt34p4,ก้องฟ้า,5,main,P05,22,23,4041,4041,0,0
20260419141512-jt34p4__5__P05,20260419141512-jt34p4,ก้องฟ้า,5,main,P05,23,24,4180,4180,0,0
20260419141512-jt34p4__5__P05,20260419141512-jt34p4,ก้องฟ้า,5,main,P05,24,25,4396,4396,0,0
20260419141512-jt34p4__5__P05,20260419141512-jt34p4,ก้องฟ้า,5,main,P05,25,26,4512,4512,0,0
20260419141512-jt34p4__5__P05,20260419141512-jt34p4,ก้องฟ้า,5,main,P05,26,27,5111,6380,1,0
20260419141512-jt34p4__5__P05,20260419141512-jt34p4,ก้องฟ้า,5,main,P05,27,28,6591,6591,0,0
20260419141512-jt34p4__5__P05,20260419141512-jt34p4,ก้องฟ้า,5,main,P05,28,29,6740,6740,0,0
20260419141512-jt34p4__5__P05,20260419141512-jt34p4,ก้องฟ้า,5,main,P05,29,30,6881,6881,0,0
20260419141512-jt34p4__5__P05,20260419141512-jt34p4,ก้องฟ้า,5,main,P05,30,31,7178,7178,0,0
20260419141512-jt34p4__6__P09,20260419141512-jt34p4,ก้องฟ้า,6,main,P09,0,1,820,820,0,0
20260419141512-jt34p4__6__P09,20260419141512-jt34p4,ก้องฟ้า,6,main,P09,1,2,899,899,0,0
20260419141512-jt34p4__6__P09,20260419141512-jt34p4,ก้องฟ้า,6,main,P09,2,3,959,959,0,0
20260419141512-jt34p4__6__P09,20260419141512-jt34p4,ก้องฟ้า,6,main,P09,3,4,1028,1028,0,0
20260419141512-jt34p4__6__P09,20260419141512-jt34p4,ก้องฟ้า,6,main,P09,4,5,1284,1284,0,0
20260419141512-jt34p4__6__P09,20260419141512-jt34p4,ก้องฟ้า,6,main,P09,5,6,1541,1541,0,0
