window_id,trial_uid,participant_code,prompt_id,error_episode_id,window_start_event_index,window_end_event_index,window_length,episode_duration_ms,episode_delete_count,episode_recovery_step_count,max_error_suffix_depth,mean_friction,pause_before_first_delete_ms,heuristic_recovery_style,prompt_family
20260420162459-1rqejrq__11__P07__E001,20260420162459-1rqejrq__11__P07,Plub,P07,1,8,26,19,2867,6,6,7,0.3299174078032575,170.0,deep_overshoot_then_recovery,formal_educational
20260420162459-1rqejrq__11__P07__E002,20260420162459-1rqejrq__11__P07,Plub,P07,2,60,68,9,840,1,1,2,-0.0076540204997132,651.0,pause_then_delete,formal_educational
20260420162459-1rqejrq__11__P07__E003,20260420162459-1rqejrq__11__P07,Plub,P07,3,74,88,15,1262,4,4,5,0.1275639232456728,239.0,deep_overshoot_then_recovery,formal_educational
20260420162459-1rqejrq__12__P12__E001,20260420162459-1rqejrq__12__P12,Plub,P12,1,7,13,7,0,0,0,1,0.3544131352878695,,other_or_shallow_episode,long_familiar_expository
20260420162459-1rqejrq__12__P12__E002,20260420162459-1rqejrq__12__P12,Plub,P12,2,21,27,7,0,0,0,1,-0.1192617538874559,,other_or_shallow_episode,long_familiar_expository
20260420162459-1rqejrq__12__P12__E003,20260420162459-1rqejrq__12__P12,Plub,P12,3,46,52,7,0,0,0,1,0.6510140338432602,,other_or_shallow_episode,long_familiar_expository
20260420162459-1rqejrq__12__P12__E004,20260420162459-1rqejrq__12__P12,Plub,P12,4,58,70,13,1613,3,3,4,0.2161385436701666,313.0,deep_overshoot_then_recovery,long_familiar_expository
20260420162459-1rqejrq__12__P12__E005,20260420162459-1rqejrq__12__P12,Plub,P12,5,113,121,9,732,1,1,2,0.1535559792583102,374.0,other_or_shallow_episode,long_familiar_expository
20260420162459-1rqejrq__13__P14__E001,20260420162459-1rqejrq__13__P14,Plub,P14,1,3,9,7,0,0,0,1,0.3814101020851883,,other_or_shallow_episode,long_mixed_difficulty
20260420162459-1rqejrq__13__P14__E002,20260420162459-1rqejrq__13__P14,Plub,P14,2,33,39,7,0,0,0,1,0.0008301719634633,,other_or_shallow_episode,long_mixed_difficulty
20260420162459-1rqejrq__13__P14__E003,20260420162459-1rqejrq__13__P14,Plub,P14,3,36,42,7,0,0,0,1,0.4135396450127189,,other_or_shallow_episode,long_mixed_difficulty
20260420162459-1rqejrq__13__P14__E004,20260420162459-1rqejrq__13__P14,Plub,P14,4,38,44,7,0,0,0,1,0.0305938522195982,,other_or_shallow_episode,long_mixed_difficulty
20260420162459-1rqejrq__13__P14__E005,20260420162459-1rqejrq__13__P14,Plub,P14,5,62,76,15,1654,4,4,5,0.10336415436542,298.0,deep_overshoot_then_recovery,long_mixed_difficulty
20260420162459-1rqejrq__13__P14__E006,20260420162459-1rqejrq__13__P14,Plub,P14,6,83,89,7,0,0,0,1,0.1747463781561476,,other_or_shallow_episode,long_mixed_difficulty
20260420162459-1rqejrq__13__P14__E007,20260420162459-1rqejrq__13__P14,Plub,P14,7,98,104,7,0,0,0,1,0.0112528608687323,,other_or_shallow_episode,long_mixed_difficulty
20260420162459-1rqejrq__13__P14__E008,20260420162459-1rqejrq__13__P14,Plub,P14,8,135,145,11,835,2,2,3,0.11863649058862,287.0,deep_overshoot_then_recovery,long_mixed_difficulty
20260420162459-1rqejrq__14__P13__E001,20260420162459-1rqejrq__14__P13,Plub,P13,1,9,15,7,0,0,0,1,-0.0244464441820454,,other_or_shallow_episode,long_formal_bureaucratic
20260420162459-1rqejrq__14__P13__E002,20260420162459-1rqejrq__14__P13,Plub,P13,2,24,30,7,0,0,0,1,-0.1902908176757437,,other_or_shallow_episode,long_formal_bureaucratic
20260420162459-1rqejrq__14__P13__E003,20260420162459-1rqejrq__14__P13,Plub,P13,3,30,44,15,1505,4,4,4,0.0099405050936156,256.0,deep_overshoot_then_recovery,long_formal_bureaucratic
20260420162459-1rqejrq__14__P13__E004,20260420162459-1rqejrq__14__P13,Plub,P13,4,85,91,7,0,0,0,1,-0.0047898264098238,,other_or_shallow_episode,long_formal_bureaucratic
20260420162459-1rqejrq__14__P13__E005,20260420162459-1rqejrq__14__P13,Plub,P13,5,105,119,15,1709,4,4,5,0.187524272620796,632.0,deep_overshoot_then_recovery,long_formal_bureaucratic
20260420162459-1rqejrq__14__P13__E006,20260420162459-1rqejrq__14__P13,Plub,P13,6,139,147,9,664,1,1,2,0.238761782379587,268.0,immediate_repair,long_formal_bureaucratic
20260420162459-1rqejrq__2__P02__E001,20260420162459-1rqejrq__2__P02,Plub,P02,1,9,15,7,0,0,0,1,-0.0899186593205348,,other_or_shallow_episode,familiar_polite
20260420162459-1rqejrq__3__P04__E001,20260420162459-1rqejrq__3__P04,Plub,P04,1,4,16,13,2274,3,3,3,0.2015975699259242,439.0,deep_overshoot_then_recovery,orthographic_named_entity
20260420162459-1rqejrq__4__P03__E001,20260420162459-1rqejrq__4__P03,Plub,P03,1,25,33,9,404,1,1,2,0.150295729353129,260.0,immediate_repair,formal_register
20260420162459-1rqejrq__4__P03__E002,20260420162459-1rqejrq__4__P03,Plub,P03,2,32,36,5,0,0,0,1,0.2167913790588629,,other_or_shallow_episode,formal_register
20260420162459-1rqejrq__5__P05__E001,20260420162459-1rqejrq__5__P05,Plub,P05,1,17,23,7,0,0,0,1,0.1851704672270707,,other_or_shallow_episode,twisted_proverb
20260420162459-1rqejrq__5__P05__E002,20260420162459-1rqejrq__5__P05,Plub,P05,2,21,27,7,0,0,0,1,-0.0669261623347567,,other_or_shallow_episode,twisted_proverb
20260420162459-1rqejrq__5__P05__E003,20260420162459-1rqejrq__5__P05,Plub,P05,3,30,44,15,2073,4,4,5,0.2326896038522193,389.0,deep_overshoot_then_recovery,twisted_proverb
20260420162459-1rqejrq__6__P09__E001,20260420162459-1rqejrq__6__P09,Plub,P09,1,3,25,23,4389,8,8,9,0.4157738851681776,445.0,deep_overshoot_then_recovery,arabic_numerals
20260420162459-1rqejrq__6__P09__E002,20260420162459-1rqejrq__6__P09,Plub,P09,2,21,31,11,3846,2,2,3,0.3748590448285089,687.0,deep_overshoot_then_recovery,arabic_numerals
20260420162459-1rqejrq__6__P09__E003,20260420162459-1rqejrq__6__P09,Plub,P09,3,27,33,7,0,0,0,1,0.4852946801124027,,other_or_shallow_episode,arabic_numerals
20260420162459-1rqejrq__6__P09__E004,20260420162459-1rqejrq__6__P09,Plub,P09,4,29,35,7,0,0,0,1,0.3302640042097947,,other_or_shallow_episode,arabic_numerals
20260420162459-1rqejrq__6__P09__E005,20260420162459-1rqejrq__6__P09,Plub,P09,5,33,41,9,660,1,1,2,0.2396621138129974,427.0,other_or_shallow_episode,arabic_numerals
20260420162459-1rqejrq__6__P09__E006,20260420162459-1rqejrq__6__P09,Plub,P09,6,37,45,9,1976,1,1,2,0.6621310446071852,1131.0,pause_then_delete,arabic_numerals
20260420162459-1rqejrq__6__P09__E007,20260420162459-1rqejrq__6__P09,Plub,P09,7,41,47,7,0,0,0,1,0.6375246361383662,,other_or_shallow_episode,arabic_numerals
