participant_code,profile_dimension,profile_value,n_events,n_positions,n_trials_from_events,n_trials_from_positions,mean_log_dt_ms,mean_friction,delete_rate,near_key_typo_rate,layout_confusion_rate,shift_confusion_rate,mean_time_to_first_correct_ms,mean_time_to_stability_ms,mean_revisions,wrong_first_rate
Chokdee`,expected_char_class,<missing>,13,13,7,7,4.476302246827535,-0.43454258396953177,0.0,0.0,0.0,0.0,17860.384615384617,17860.384615384617,0.0,0.0
Chokdee`,expected_char_class,arabic_numeral,15,5,2,2,5.2950259669239825,0.030939019054811598,0.3333333333333333,0.06666666666666667,0.2,0.0,9916.8,9916.8,0.0,0.2
Chokdee`,expected_char_class,english_punctuation,5,3,1,1,6.0627826138781415,0.28908154969531075,0.2,0.0,0.2,0.0,8038.333333333333,8038.333333333333,0.0,0.6666666666666666
Chokdee`,expected_char_class,thai_consonant,673,520,14,14,5.071319952504571,-0.16723129302006956,0.11292719167904904,0.02674591381872214,0.0014858841010401188,0.008915304606240713,15266.938461538462,15308.992307692308,0.007692307692307693,0.13846153846153847
Chokdee`,expected_char_class,thai_diacritic,17,7,5,5,5.216170209909978,0.06886866611154752,0.29411764705882354,0.058823529411764705,0.0,0.0,20711.14285714286,20711.14285714286,0.0,0.2857142857142857
Chokdee`,expected_char_class,thai_numeral,42,4,2,2,5.882195617153521,0.31550107428545227,0.4523809523809524,0.023809523809523808,0.0,0.0,53669.75,53669.75,0.0,0.75
Chokdee`,expected_char_class,thai_tone_mark,61,54,13,13,4.905835564317926,-0.28790732623236576,0.06557377049180328,0.0,0.0,0.0,16851.185185185186,17012.777777777777,0.018518518518518517,0.12962962962962962
Chokdee`,expected_char_class,thai_vowel_mark,343,237,14,14,5.114015937823648,-0.139172899467237,0.15451895043731778,0.01749271137026239,0.0,0.0029154518950437317,15356.337552742616,15443.139240506329,0.012658227848101266,0.16033755274261605
Chokdee`,expected_char_class,whitespace,25,19,8,8,5.352586330898316,-0.08705325076085293,0.12,0.0,0.0,0.0,20607.315789473683,20607.315789473683,0.0,0.2631578947368421
Chokdee`,expected_hand_proxy,<missing>,13,13,7,7,4.476302246827535,-0.43454258396953177,0.0,0.0,0.0,0.0,17860.384615384617,17860.384615384617,0.0,0.0
Chokdee`,expected_hand_proxy,left,313,224,14,14,5.117612492791581,-0.11626741706223256,0.14057507987220447,0.012779552715654952,0.0,0.003194888178913738,17101.64285714286,17193.071428571428,0.008928571428571428,0.15625
Chokdee`,expected_hand_proxy,right,843,606,14,14,5.112711110262022,-0.14842503511421185,0.14116251482799524,0.027283511269276393,0.005931198102016607,0.0071174377224199285,15001.339933993399,15051.976897689769,0.009900990099009901,0.1485148514851485
Chokdee`,expected_hand_proxy,thumb,25,19,8,8,5.352586330898316,-0.08705325076085293,0.12,0.0,0.0,0.0,20607.315789473683,20607.315789473683,0.0,0.2631578947368421
Chokdee`,expected_layout,<missing>,13,13,7,7,4.476302246827535,-0.43454258396953177,0.0,0.0,0.0,0.0,17860.384615384617,17860.384615384617,0.0,0.0
Chokdee`,expected_layout,COMMON,25,19,8,8,5.352586330898316,-0.08705325076085293,0.12,0.0,0.0,0.0,20607.315789473683,20607.315789473683,0.0,0.2631578947368421
Chokdee`,expected_layout,EN,20,8,2,2,5.486965128662522,0.09547465171493638,0.3,0.05,0.2,0.0,9212.375,9212.375,0.0,0.375
Chokdee`,expected_layout,TH,1136,822,14,14,5.107472600018837,-0.14385871406343143,0.1382042253521127,0.022887323943661973,0.0008802816901408451,0.006161971830985915,15630.025547445255,15692.271289537714,0.009732360097323601,0.14841849148418493
Chokdee`,expected_shift_required,0,1048,803,14,14,5.066921619243576,-0.1750802912235069,0.11736641221374046,0.02385496183206107,0.004770992366412214,0.0009541984732824427,15475.094645080946,15526.079701120798,0.007471980074719801,0.1432129514321295
Chokdee`,expected_shift_required,1,133,46,11,11,5.5301426879687146,0.14882562249213932,0.3233082706766917,0.015037593984962405,0.0,0.045112781954887216,19274.304347826088,19496.58695652174,0.043478260869565216,0.32608695652173914
Chokdee`,expected_shift_required,<missing>,13,13,7,7,4.476302246827535,-0.43454258396953177,0.0,0.0,0.0,0.0,17860.384615384617,17860.384615384617,0.0,0.0
Chokdee`,expected_zone_proxy,<missing>,13,13,7,7,4.476302246827535,-0.43454258396953177,0.0,0.0,0.0,0.0,17860.384615384617,17860.384615384617,0.0,0.0
Chokdee`,expected_zone_proxy,center,286,204,14,14,5.1437618611977225,-0.13922631811894173,0.14685314685314685,0.017482517482517484,0.01048951048951049,0.0,13937.024509803921,14029.921568627451,0.014705882352941176,0.14215686274509803
Chokdee`,expected_zone_proxy,left,313,224,14,14,5.117612492791581,-0.11626741706223256,0.14057507987220447,0.012779552715654952,0.0,0.003194888178913738,17101.64285714286,17193.071428571428,0.008928571428571428,0.15625
Chokdee`,expected_zone_proxy,right,557,402,14,14,5.0967676367115535,-0.15314825425361445,0.13824057450628366,0.03231597845601436,0.003590664272890485,0.010771992818671455,15541.440298507463,15570.63184079602,0.007462686567164179,0.1517412935323383
Chokdee`,expected_zone_proxy,space,25,19,8,8,5.352586330898316,-0.08705325076085293,0.12,0.0,0.0,0.0,20607.315789473683,20607.315789473683,0.0,0.2631578947368421
Chokdee`,layout_switch_needed,0,1140,819,14,14,5.095275164468734,-0.14714906348774082,0.1412280701754386,0.02368421052631579,0.002631578947368421,0.0061403508771929825,15916.007326007326,15977.260073260073,0.008547008547008548,0.1562881562881563
Chokdee`,layout_switch_needed,1,13,3,1,1,5.552281063301392,0.18320201742536207,0.38461538461538464,0.0,0.15384615384615385,0.0,10333.666666666666,10333.666666666666,0.0,0.6666666666666666
Chokdee`,layout_switch_needed,<missing>,41,40,14,14,5.440034691672923,-0.09685572811926321,0.0,0.0,0.0,0.0,11977.325,12002.325,0.025,0.0
Chokdee`,target_distance_bin,<missing>,101,78,14,14,5.59429048706942,0.013043699662735182,0.10891089108910891,0.0,0.0,0.0,16601.628205128207,16614.44871794872,0.01282051282051282,0.10256410256410256
Chokdee`,target_distance_bin,high,591,434,14,14,4.964333354976744,-0.14190149488325668,0.1319796954314721,0.021996615905245348,0.005076142131979695,0.01015228426395939,15764.983870967742,15860.467741935483,0.013824884792626729,0.15668202764976957
Chokdee`,target_distance_bin,low,254,177,14,14,5.1645169995866915,-0.19953466710859027,0.15354330708661418,0.03937007874015748,0.0,0.003937007874015748,15870.073446327684,15870.073446327684,0.0,0.13559322033898305
Chokdee`,target_distance_bin,medium,248,173,14,14,5.214125378207976,-0.145609740914251,0.1532258064516129,0.016129032258064516,0.008064516129032258,0.0,15025.265895953757,15075.70520231214,0.005780346820809248,0.17341040462427745
DDDD,expected_char_class,<missing>,32,13,7,7,6.178913572372983,0.2646465645273443,0.3125,0.0,0.0,0.0,43221.0,43221.0,0.0,0.07692307692307693
DDDD,expected_char_class,arabic_numeral,7,5,2,2,6.7695431449534675,0.4611051803335736,0.14285714285714285,0.0,0.0,0.0,40329.0,40329.0,0.0,0.2
