prompt_id,anon_id,role,rank,subseq_start_event,mp_distance,series_length,max_depth_in_subseq,window
P14,U15,discord,2,54,2.1587609555925535,153,1.0,12
P14,U15,discord,3,0,0.0,153,0.0,12
P14,U16,motif,1,0,0.0,251,3.0,12
P14,U16,motif,2,13,0.0,251,2.0,12
P14,U16,motif,3,26,0.0,251,3.0,12
P14,U16,discord,1,60,2.9375714021747688,251,2.0,12
P14,U16,discord,2,144,2.7962838376821004,251,1.0,12
P14,U16,discord,3,104,2.4155036112837904,251,1.0,12
P14,U17,motif,1,4,0.0,177,1.0,12
P14,U17,motif,2,17,0.0,177,0.0,12
P14,U17,motif,3,30,0.0,177,0.0,12
P14,U17,discord,1,142,3.3862086130641367,177,1.0,12
P14,U17,discord,2,3,2.7962838376821098,177,1.0,12
P14,U17,discord,3,98,2.743073260541776,177,2.0,12
P14,U18,motif,1,0,0.0,173,1.0,12
P14,U18,motif,2,13,0.0,173,0.0,12
P14,U18,motif,3,26,0.0,173,1.0,12
P14,U18,discord,1,29,3.386208613064138,173,1.0,12
P14,U18,discord,2,60,1.511857892036908,173,5.0,12
P14,U18,discord,3,131,1.511857892036908,173,3.0,12
P14,U19,motif,1,5,0.0,177,1.0,12
P14,U19,motif,2,18,0.0,177,0.0,12
P14,U19,motif,3,31,0.0,177,0.0,12
P14,U19,discord,1,94,3.372291020886613,177,1.0,12
P14,U19,discord,2,4,2.796283837682106,177,1.0,12
P14,U19,discord,3,115,2.415503611283793,177,1.0,12
P14,U20,motif,1,0,0.0,241,0.0,12
P14,U20,motif,2,36,0.0,241,2.0,12
P14,U20,motif,3,49,0.0,241,1.0,12
P14,U20,discord,1,52,3.4641016151377544,241,1.0,12
P14,U20,discord,2,99,2.580950310573663,241,2.0,12
P14,U20,discord,3,186,2.1908902300206656,241,1.0,12
P14,U21,motif,1,0,0.0,153,0.0,12
P14,U21,motif,2,13,0.0,153,0.0,12
P14,U21,motif,3,26,0.0,153,0.0,12
P14,U21,discord,1,137,3.4641016151377544,153,2.0,12
P14,U21,discord,2,119,2.4699057226708074,153,1.0,12
P14,U21,discord,3,0,0.0,153,0.0,12
P14,U22,motif,1,0,0.0,157,0.0,12
P14,U22,motif,2,13,0.0,157,0.0,12
P14,U22,motif,3,26,0.0,157,1.0,12
P14,U22,discord,1,44,2.796283837682111,157,1.0,12
P14,U22,discord,2,0,0.0,157,0.0,12
P14,U22,discord,3,13,0.0,157,0.0,12
P14,U23,motif,1,0,0.0,147,0.0,12
P14,U23,motif,2,13,0.0,147,0.0,12
P14,U23,motif,3,26,0.0,147,0.0,12
P14,U23,discord,1,129,3.4641016151377544,147,1.0,12
P14,U23,discord,2,0,0.0,147,0.0,12
P14,U23,discord,3,13,0.0,147,0.0,12
P14,U24,motif,1,0,0.0,179,1.0,12
P14,U24,motif,2,13,0.0,179,1.0,12
P14,U24,motif,3,26,0.0,179,0.0,12
P14,U24,discord,1,124,3.3722910208866126,179,1.0,12
P14,U24,discord,2,37,2.7962838376821098,179,1.0,12
P14,U24,discord,3,97,2.4155036112837927,179,1.0,12
P14,U25,motif,1,0,0.0,171,1.0,12
P14,U25,motif,2,13,0.0,171,0.0,12
P14,U25,motif,3,26,0.0,171,0.0,12
P14,U25,discord,1,64,2.796283837682111,171,1.0,12
P14,U25,discord,2,113,2.796283837682111,171,1.0,12
P14,U25,discord,3,146,2.796283837682111,171,1.0,12
P14,U26,motif,1,0,0.0,271,2.0,12
P14,U26,motif,2,37,0.0,271,1.0,12
P14,U26,motif,3,50,0.0,271,1.0,12
P14,U26,discord,1,149,3.265986323710904,271,1.0,12
P14,U26,discord,2,8,2.970028153265854,271,1.0,12
P14,U26,discord,3,129,2.9700281532658512,271,1.0,12
