prompt_id,anon_id,role,rank,subseq_start_event,subseq_end_event,mp_distance,series_length,window
P14,U12,discord,2,33,48,3.852887856779749,243,16
P14,U12,discord,3,192,207,3.757771283721716,243,16
P14,U13,motif,1,2,17,2.1871680870903214,155,16
P14,U13,motif,2,107,122,2.1871680870903214,155,16
P14,U13,motif,3,28,43,2.73515827501653,155,16
P14,U13,discord,1,54,69,4.222046060397742,155,16
P14,U13,discord,2,18,33,3.9431227795138377,155,16
P14,U13,discord,3,37,52,3.942582390995016,155,16
P14,U14,motif,1,33,48,2.235746188212319,155,16
P14,U14,motif,2,115,130,2.235746188212319,155,16
P14,U14,motif,3,85,100,2.580067880433419,155,16
P14,U14,discord,1,52,67,4.009719352226824,155,16
P14,U14,discord,2,128,143,3.981674538518239,155,16
P14,U14,discord,3,71,86,3.929978929838937,155,16
P14,U15,motif,1,75,90,2.6851058227130133,153,16
P14,U15,motif,2,125,140,2.6851058227130133,153,16
P14,U15,motif,3,24,39,2.8359681006355335,153,16
P14,U15,discord,1,10,25,4.129845320966361,153,16
P14,U15,discord,2,113,128,4.029122223355154,153,16
P14,U15,discord,3,90,105,3.9861527452269216,153,16
P14,U16,motif,1,105,120,2.7071335520908684,251,16
P14,U16,motif,2,214,229,2.7071335520908684,251,16
P14,U16,motif,3,159,174,2.8662577611346887,251,16
P14,U16,discord,1,45,60,3.8289757370550213,251,16
P14,U16,discord,2,93,108,3.812750057311145,251,16
P14,U16,discord,3,228,243,3.812750057311145,251,16
P14,U17,motif,1,105,120,2.820669790418864,177,16
P14,U17,motif,2,161,176,2.820669790418864,177,16
P14,U17,motif,3,83,98,3.035409708384669,177,16
P14,U17,discord,1,30,45,4.153426320138501,177,16
P14,U17,discord,2,159,174,4.053050325374176,177,16
P14,U17,discord,3,55,70,4.020978038089137,177,16
P14,U18,motif,1,2,17,2.8790131087825546,173,16
P14,U18,motif,2,92,107,2.8790131087825546,173,16
P14,U18,motif,3,22,37,2.920931913351441,173,16
P14,U18,discord,1,132,147,3.998676397359193,173,16
P14,U18,discord,2,12,27,3.9574444298267952,173,16
P14,U18,discord,3,31,46,3.9254378983070506,173,16
P14,U19,motif,1,61,76,2.293058846673617,177,16
P14,U19,motif,2,88,103,2.293058846673617,177,16
P14,U19,motif,3,9,24,2.725723438947068,177,16
P14,U19,discord,1,158,173,4.028183079080184,177,16
P14,U19,discord,2,82,97,3.974723977758166,177,16
P14,U19,discord,3,3,18,3.9519794167040465,177,16
P14,U20,motif,1,78,93,1.9816323398880396,241,16
P14,U20,motif,2,129,144,1.9816323398880396,241,16
P14,U20,motif,3,31,46,2.239908898230964,241,16
P14,U20,discord,1,180,195,3.973360687387671,241,16
P14,U20,discord,2,11,26,3.7890253975507204,241,16
P14,U20,discord,3,144,159,3.7794460159838423,241,16
P14,U21,motif,1,47,62,2.550060053310513,153,16
P14,U21,motif,2,124,139,2.550060053310513,153,16
P14,U21,motif,3,24,39,2.58689207462339,153,16
P14,U21,discord,1,58,73,3.961788528831939,153,16
P14,U21,discord,2,0,15,3.95709676860805,153,16
P14,U21,discord,3,84,99,3.956970446324354,153,16
P14,U22,motif,1,58,73,2.6708886909942158,157,16
P14,U22,motif,2,134,149,2.6708886909942158,157,16
P14,U22,motif,3,33,48,2.724852416102199,157,16
P14,U22,discord,1,76,91,4.227911945469389,157,16
P14,U22,discord,2,7,22,4.068807313601647,157,16
P14,U22,discord,3,127,142,4.058605392277242,157,16
P14,U23,motif,1,18,33,2.359059729888493,147,16
P14,U23,motif,2,80,95,2.359059729888493,147,16
